"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"1922","Native",1,24,"spillover1","fp","spillover1 fp",4,0,364,364,"Unambiguous","Mismatch",364
"1924","Native",1,12,"spillover1","fp","spillover1 fp",4,0,272,272,"Unambiguous","Mismatch",272
"1926","Native",1,6,"spillover1","fp","spillover1 fp",2,0,161,161,"Ambiguous","Mismatch",161
"1928","Native",1,7,"spillover1","fp","spillover1 fp",3,1,0,NA,"Unambiguous","Match",NA
"1930","Native",1,14,"spillover1","fp","spillover1 fp",2,0,175,175,"Ambiguous","Mismatch",175
"1932","Native",1,21,"spillover1","fp","spillover1 fp",1,0,195,195,"Ambiguous","Match",195
"1934","Native",1,19,"spillover1","fp","spillover1 fp",3,0,206,206,"Unambiguous","Match",206
"1936","Native",1,17,"spillover1","fp","spillover1 fp",1,0,265,265,"Ambiguous","Match",265
"1938","Native",1,10,"spillover1","fp","spillover1 fp",2,0,185,185,"Ambiguous","Mismatch",185
"1940","Native",1,23,"spillover1","fp","spillover1 fp",3,0,290,290,"Unambiguous","Match",290
"1942","Native",1,15,"spillover1","fp","spillover1 fp",3,0,195,195,"Unambiguous","Match",195
"1944","Native",1,1,"spillover1","fp","spillover1 fp",1,0,179,179,"Ambiguous","Match",179
"1946","Native",1,2,"spillover1","fp","spillover1 fp",2,0,209,209,"Ambiguous","Mismatch",209
"1948","Native",1,5,"spillover1","fp","spillover1 fp",1,0,408,408,"Ambiguous","Match",408
"1950","Native",1,16,"spillover1","fp","spillover1 fp",4,0,233,233,"Unambiguous","Mismatch",233
"1952","Native",1,3,"spillover1","fp","spillover1 fp",3,0,545,545,"Unambiguous","Match",545
"1954","Native",1,13,"spillover1","fp","spillover1 fp",1,0,197,197,"Ambiguous","Match",197
"1956","Native",1,11,"spillover1","fp","spillover1 fp",3,0,220,220,"Unambiguous","Match",220
"1958","Native",1,9,"spillover1","fp","spillover1 fp",1,0,178,178,"Ambiguous","Match",178
"1960","Native",1,8,"spillover1","fp","spillover1 fp",4,0,442,442,"Unambiguous","Mismatch",442
"1962","Native",1,4,"spillover1","fp","spillover1 fp",4,0,224,224,"Unambiguous","Mismatch",224
"1964","Native",1,20,"spillover1","fp","spillover1 fp",4,0,341,341,"Unambiguous","Mismatch",341
"1966","Native",1,18,"spillover1","fp","spillover1 fp",2,0,266,266,"Ambiguous","Mismatch",266
"1968","Native",1,22,"spillover1","fp","spillover1 fp",2,0,433,433,"Ambiguous","Mismatch",433
"1970","Native",2,14,"spillover1","fp","spillover1 fp",3,0,208,208,"Unambiguous","Match",208
"1972","Native",2,4,"spillover1","fp","spillover1 fp",1,0,532,532,"Ambiguous","Match",532
"1974","Native",2,19,"spillover1","fp","spillover1 fp",4,0,195,195,"Unambiguous","Mismatch",195
"1976","Native",2,1,"spillover1","fp","spillover1 fp",2,0,205,205,"Ambiguous","Mismatch",205
"1978","Native",2,5,"spillover1","fp","spillover1 fp",2,0,420,420,"Ambiguous","Mismatch",420
"1980","Native",2,15,"spillover1","fp","spillover1 fp",4,0,332,332,"Unambiguous","Mismatch",332
"1982","Native",2,7,"spillover1","fp","spillover1 fp",4,1,0,NA,"Unambiguous","Mismatch",NA
"1984","Native",2,18,"spillover1","fp","spillover1 fp",3,0,288,288,"Unambiguous","Match",288
"1986","Native",2,6,"spillover1","fp","spillover1 fp",3,0,184,184,"Unambiguous","Match",184
"1988","Native",2,22,"spillover1","fp","spillover1 fp",3,0,166,166,"Unambiguous","Match",166
"1990","Native",2,10,"spillover1","fp","spillover1 fp",3,1,0,NA,"Unambiguous","Match",NA
"1992","Native",2,8,"spillover1","fp","spillover1 fp",1,0,248,248,"Ambiguous","Match",248
"1994","Native",2,24,"spillover1","fp","spillover1 fp",1,0,499,499,"Ambiguous","Match",499
"1996","Native",2,17,"spillover1","fp","spillover1 fp",2,0,192,192,"Ambiguous","Mismatch",192
"1998","Native",2,2,"spillover1","fp","spillover1 fp",3,0,211,211,"Unambiguous","Match",211
"2000","Native",2,11,"spillover1","fp","spillover1 fp",4,0,250,250,"Unambiguous","Mismatch",250
"2002","Native",2,3,"spillover1","fp","spillover1 fp",4,0,162,162,"Unambiguous","Mismatch",162
"2004","Native",2,21,"spillover1","fp","spillover1 fp",2,0,183,183,"Ambiguous","Mismatch",183
"2006","Native",2,20,"spillover1","fp","spillover1 fp",1,0,194,194,"Ambiguous","Match",194
"2008","Native",2,16,"spillover1","fp","spillover1 fp",1,1,0,NA,"Ambiguous","Match",NA
"2010","Native",2,13,"spillover1","fp","spillover1 fp",2,0,198,198,"Ambiguous","Mismatch",198
"2012","Native",2,9,"spillover1","fp","spillover1 fp",2,0,161,161,"Ambiguous","Mismatch",161
"2014","Native",2,12,"spillover1","fp","spillover1 fp",1,0,457,457,"Ambiguous","Match",457
"2016","Native",2,23,"spillover1","fp","spillover1 fp",4,0,366,366,"Unambiguous","Mismatch",366
"2017","Native",3,11,"spillover1","fp","spillover1 fp",1,0,373,373,"Ambiguous","Match",373
"2019","Native",3,21,"spillover1","fp","spillover1 fp",3,0,343,343,"Unambiguous","Match",343
"2021","Native",3,2,"spillover1","fp","spillover1 fp",4,0,585,585,"Unambiguous","Mismatch",585
"2023","Native",3,20,"spillover1","fp","spillover1 fp",2,0,284,284,"Ambiguous","Mismatch",284
"2025","Native",3,9,"spillover1","fp","spillover1 fp",3,0,274,274,"Unambiguous","Match",274
"2027","Native",3,4,"spillover1","fp","spillover1 fp",2,0,175,175,"Ambiguous","Mismatch",175
"2029","Native",3,3,"spillover1","fp","spillover1 fp",1,0,637,637,"Ambiguous","Match",637
"2031","Native",3,1,"spillover1","fp","spillover1 fp",3,0,327,327,"Unambiguous","Match",327
"2033","Native",3,13,"spillover1","fp","spillover1 fp",3,0,326,326,"Unambiguous","Match",326
"2035","Native",3,18,"spillover1","fp","spillover1 fp",4,0,384,384,"Unambiguous","Mismatch",384
"2037","Native",3,7,"spillover1","fp","spillover1 fp",1,0,757,757,"Ambiguous","Match",757
"2039","Native",3,5,"spillover1","fp","spillover1 fp",3,0,318,318,"Unambiguous","Match",318
"2041","Native",3,15,"spillover1","fp","spillover1 fp",1,0,218,218,"Ambiguous","Match",218
"2043","Native",3,16,"spillover1","fp","spillover1 fp",2,0,306,306,"Ambiguous","Mismatch",306
"2045","Native",3,8,"spillover1","fp","spillover1 fp",2,0,176,176,"Ambiguous","Mismatch",176
"2047","Native",3,22,"spillover1","fp","spillover1 fp",4,0,189,189,"Unambiguous","Mismatch",189
"2049","Native",3,17,"spillover1","fp","spillover1 fp",3,0,419,419,"Unambiguous","Match",419
"2051","Native",3,19,"spillover1","fp","spillover1 fp",1,0,116,116,"Ambiguous","Match",116
"2053","Native",3,23,"spillover1","fp","spillover1 fp",1,0,785,785,"Ambiguous","Match",785
"2055","Native",3,14,"spillover1","fp","spillover1 fp",4,0,446,446,"Unambiguous","Mismatch",446
"2057","Native",3,24,"spillover1","fp","spillover1 fp",2,0,416,416,"Ambiguous","Mismatch",416
"2059","Native",3,10,"spillover1","fp","spillover1 fp",4,0,403,403,"Unambiguous","Mismatch",403
"2061","Native",3,12,"spillover1","fp","spillover1 fp",2,0,195,195,"Ambiguous","Mismatch",195
"2063","Native",3,6,"spillover1","fp","spillover1 fp",4,0,200,200,"Unambiguous","Mismatch",200
"2065","Native",4,21,"spillover1","fp","spillover1 fp",4,0,338,338,"Unambiguous","Mismatch",338
"2067","Native",4,14,"spillover1","fp","spillover1 fp",1,0,244,244,"Ambiguous","Match",244
"2069","Native",4,22,"spillover1","fp","spillover1 fp",1,0,351,351,"Ambiguous","Match",351
"2071","Native",4,11,"spillover1","fp","spillover1 fp",2,0,223,223,"Ambiguous","Mismatch",223
"2073","Native",4,15,"spillover1","fp","spillover1 fp",2,0,361,361,"Ambiguous","Mismatch",361
"2075","Native",4,23,"spillover1","fp","spillover1 fp",2,0,268,268,"Ambiguous","Mismatch",268
"2077","Native",4,18,"spillover1","fp","spillover1 fp",1,0,342,342,"Ambiguous","Match",342
"2079","Native",4,6,"spillover1","fp","spillover1 fp",1,0,248,248,"Ambiguous","Match",248
"2081","Native",4,10,"spillover1","fp","spillover1 fp",1,0,155,155,"Ambiguous","Match",155
"2083","Native",4,12,"spillover1","fp","spillover1 fp",3,0,347,347,"Unambiguous","Match",347
"2085","Native",4,19,"spillover1","fp","spillover1 fp",2,0,240,240,"Ambiguous","Mismatch",240
"2087","Native",4,1,"spillover1","fp","spillover1 fp",4,0,173,173,"Unambiguous","Mismatch",173
"2089","Native",4,20,"spillover1","fp","spillover1 fp",3,0,254,254,"Unambiguous","Match",254
"2091","Native",4,16,"spillover1","fp","spillover1 fp",3,0,194,194,"Unambiguous","Match",194
"2093","Native",4,2,"spillover1","fp","spillover1 fp",1,0,270,270,"Ambiguous","Match",270
"2095","Native",4,5,"spillover1","fp","spillover1 fp",4,0,167,167,"Unambiguous","Mismatch",167
"2097","Native",4,17,"spillover1","fp","spillover1 fp",4,0,808,808,"Unambiguous","Mismatch",NA
"2099","Native",4,24,"spillover1","fp","spillover1 fp",3,0,149,149,"Unambiguous","Match",149
"2101","Native",4,13,"spillover1","fp","spillover1 fp",4,0,313,313,"Unambiguous","Mismatch",313
"2103","Native",4,8,"spillover1","fp","spillover1 fp",3,0,235,235,"Unambiguous","Match",235
"2105","Native",4,9,"spillover1","fp","spillover1 fp",4,0,484,484,"Unambiguous","Mismatch",484
"2107","Native",4,7,"spillover1","fp","spillover1 fp",2,0,277,277,"Ambiguous","Mismatch",277
"2109","Native",4,4,"spillover1","fp","spillover1 fp",3,0,362,362,"Unambiguous","Match",362
"2111","Native",4,3,"spillover1","fp","spillover1 fp",2,1,0,NA,"Ambiguous","Mismatch",NA
"2114","Native",5,8,"spillover1","fp","spillover1 fp",4,0,173,173,"Unambiguous","Mismatch",173
"2116","Native",5,4,"spillover1","fp","spillover1 fp",4,0,449,449,"Unambiguous","Mismatch",449
"2118","Native",5,19,"spillover1","fp","spillover1 fp",3,0,342,342,"Unambiguous","Match",342
"2120","Native",5,21,"spillover1","fp","spillover1 fp",1,0,618,618,"Ambiguous","Match",618
"2122","Native",5,13,"spillover1","fp","spillover1 fp",1,0,401,401,"Ambiguous","Match",401
"2124","Native",5,9,"spillover1","fp","spillover1 fp",1,1,0,NA,"Ambiguous","Match",NA
"2126","Native",5,3,"spillover1","fp","spillover1 fp",3,0,201,201,"Unambiguous","Match",201
"2128","Native",5,12,"spillover1","fp","spillover1 fp",4,0,287,287,"Unambiguous","Mismatch",287
"2130","Native",5,2,"spillover1","fp","spillover1 fp",2,1,0,NA,"Ambiguous","Mismatch",NA
"2132","Native",5,15,"spillover1","fp","spillover1 fp",3,0,160,160,"Unambiguous","Match",160
"2134","Native",5,5,"spillover1","fp","spillover1 fp",1,0,333,333,"Ambiguous","Match",333
"2136","Native",5,7,"spillover1","fp","spillover1 fp",3,1,0,NA,"Unambiguous","Match",NA
"2138","Native",5,22,"spillover1","fp","spillover1 fp",2,0,241,241,"Ambiguous","Mismatch",241
"2140","Native",5,17,"spillover1","fp","spillover1 fp",1,0,170,170,"Ambiguous","Match",170
"2142","Native",5,16,"spillover1","fp","spillover1 fp",4,0,172,172,"Unambiguous","Mismatch",172
"2144","Native",5,1,"spillover1","fp","spillover1 fp",1,0,359,359,"Ambiguous","Match",359
"2146","Native",5,14,"spillover1","fp","spillover1 fp",2,1,0,NA,"Ambiguous","Mismatch",NA
"2148","Native",5,24,"spillover1","fp","spillover1 fp",4,0,283,283,"Unambiguous","Mismatch",283
"2150","Native",5,23,"spillover1","fp","spillover1 fp",3,0,184,184,"Unambiguous","Match",184
"2152","Native",5,18,"spillover1","fp","spillover1 fp",2,0,384,384,"Ambiguous","Mismatch",384
"2154","Native",5,11,"spillover1","fp","spillover1 fp",3,0,338,338,"Unambiguous","Match",338
"2156","Native",5,20,"spillover1","fp","spillover1 fp",4,0,403,403,"Unambiguous","Mismatch",403
"2158","Native",5,10,"spillover1","fp","spillover1 fp",2,0,180,180,"Ambiguous","Mismatch",180
"2160","Native",5,6,"spillover1","fp","spillover1 fp",2,0,226,226,"Ambiguous","Mismatch",226
"2161","Native",6,12,"spillover1","fp","spillover1 fp",1,0,133,133,"Ambiguous","Match",133
"2163","Native",6,14,"spillover1","fp","spillover1 fp",3,0,150,150,"Unambiguous","Match",150
"2165","Native",6,5,"spillover1","fp","spillover1 fp",2,0,133,133,"Ambiguous","Mismatch",133
"2167","Native",6,22,"spillover1","fp","spillover1 fp",3,0,102,102,"Unambiguous","Match",102
"2169","Native",6,15,"spillover1","fp","spillover1 fp",4,1,0,NA,"Unambiguous","Mismatch",NA
"2171","Native",6,17,"spillover1","fp","spillover1 fp",2,0,208,208,"Ambiguous","Mismatch",208
"2173","Native",6,3,"spillover1","fp","spillover1 fp",4,1,0,NA,"Unambiguous","Mismatch",NA
"2175","Native",6,2,"spillover1","fp","spillover1 fp",3,0,251,251,"Unambiguous","Match",251
"2177","Native",6,9,"spillover1","fp","spillover1 fp",2,0,146,146,"Ambiguous","Mismatch",146
"2179","Native",6,8,"spillover1","fp","spillover1 fp",1,0,273,273,"Ambiguous","Match",273
"2181","Native",6,24,"spillover1","fp","spillover1 fp",1,0,342,342,"Ambiguous","Match",342
"2183","Native",6,11,"spillover1","fp","spillover1 fp",4,0,234,234,"Unambiguous","Mismatch",234
"2185","Native",6,16,"spillover1","fp","spillover1 fp",1,0,147,147,"Ambiguous","Match",147
"2187","Native",6,21,"spillover1","fp","spillover1 fp",2,0,193,193,"Ambiguous","Mismatch",193
"2189","Native",6,13,"spillover1","fp","spillover1 fp",2,0,149,149,"Ambiguous","Mismatch",149
"2191","Native",6,7,"spillover1","fp","spillover1 fp",4,0,144,144,"Unambiguous","Mismatch",144
"2193","Native",6,19,"spillover1","fp","spillover1 fp",4,0,194,194,"Unambiguous","Mismatch",194
"2195","Native",6,23,"spillover1","fp","spillover1 fp",4,0,180,180,"Unambiguous","Mismatch",180
"2197","Native",6,1,"spillover1","fp","spillover1 fp",2,0,150,150,"Ambiguous","Mismatch",150
"2199","Native",6,6,"spillover1","fp","spillover1 fp",3,0,144,144,"Unambiguous","Match",144
"2201","Native",6,4,"spillover1","fp","spillover1 fp",1,0,143,143,"Ambiguous","Match",143
"2203","Native",6,20,"spillover1","fp","spillover1 fp",1,0,167,167,"Ambiguous","Match",167
"2205","Native",6,10,"spillover1","fp","spillover1 fp",3,1,0,NA,"Unambiguous","Match",NA
"2207","Native",6,18,"spillover1","fp","spillover1 fp",3,0,227,227,"Unambiguous","Match",227
"2210","Native",7,16,"spillover1","fp","spillover1 fp",2,0,209,209,"Ambiguous","Mismatch",209
"2212","Native",7,14,"spillover1","fp","spillover1 fp",4,0,376,376,"Unambiguous","Mismatch",376
"2214","Native",7,12,"spillover1","fp","spillover1 fp",2,0,302,302,"Ambiguous","Mismatch",302
"2216","Native",7,20,"spillover1","fp","spillover1 fp",2,0,548,548,"Ambiguous","Mismatch",548
"2218","Native",7,10,"spillover1","fp","spillover1 fp",4,0,158,158,"Unambiguous","Mismatch",158
"2220","Native",7,24,"spillover1","fp","spillover1 fp",2,0,505,505,"Ambiguous","Mismatch",505
"2222","Native",7,22,"spillover1","fp","spillover1 fp",4,0,510,510,"Unambiguous","Mismatch",510
"2224","Native",7,23,"spillover1","fp","spillover1 fp",1,0,402,402,"Ambiguous","Match",402
"2226","Native",7,18,"spillover1","fp","spillover1 fp",4,0,163,163,"Unambiguous","Mismatch",163
"2228","Native",7,8,"spillover1","fp","spillover1 fp",2,0,225,225,"Ambiguous","Mismatch",225
"2230","Native",7,1,"spillover1","fp","spillover1 fp",3,0,130,130,"Unambiguous","Match",130
"2232","Native",7,2,"spillover1","fp","spillover1 fp",4,0,544,544,"Unambiguous","Mismatch",544
"2234","Native",7,13,"spillover1","fp","spillover1 fp",3,0,159,159,"Unambiguous","Match",159
"2236","Native",7,11,"spillover1","fp","spillover1 fp",1,0,171,171,"Ambiguous","Match",171
"2238","Native",7,5,"spillover1","fp","spillover1 fp",3,0,324,324,"Unambiguous","Match",324
"2240","Native",7,3,"spillover1","fp","spillover1 fp",1,0,119,119,"Ambiguous","Match",119
"2242","Native",7,19,"spillover1","fp","spillover1 fp",1,0,410,410,"Ambiguous","Match",410
"2244","Native",7,7,"spillover1","fp","spillover1 fp",1,0,138,138,"Ambiguous","Match",138
"2246","Native",7,15,"spillover1","fp","spillover1 fp",1,0,153,153,"Ambiguous","Match",153
"2248","Native",7,4,"spillover1","fp","spillover1 fp",2,0,211,211,"Ambiguous","Mismatch",211
"2250","Native",7,17,"spillover1","fp","spillover1 fp",3,0,313,313,"Unambiguous","Match",313
"2252","Native",7,21,"spillover1","fp","spillover1 fp",3,0,205,205,"Unambiguous","Match",205
"2254","Native",7,6,"spillover1","fp","spillover1 fp",4,0,160,160,"Unambiguous","Mismatch",160
"2256","Native",7,9,"spillover1","fp","spillover1 fp",3,0,302,302,"Unambiguous","Match",302
"2257","Native",8,11,"spillover1","fp","spillover1 fp",2,0,242,242,"Ambiguous","Mismatch",242
"2259","Native",8,17,"spillover1","fp","spillover1 fp",4,0,221,221,"Unambiguous","Mismatch",221
"2261","Native",8,2,"spillover1","fp","spillover1 fp",1,0,321,321,"Ambiguous","Match",321
"2263","Native",8,18,"spillover1","fp","spillover1 fp",1,0,246,246,"Ambiguous","Match",246
"2265","Native",8,14,"spillover1","fp","spillover1 fp",1,0,245,245,"Ambiguous","Match",245
"2267","Native",8,4,"spillover1","fp","spillover1 fp",3,0,276,276,"Unambiguous","Match",276
"2269","Native",8,23,"spillover1","fp","spillover1 fp",2,0,217,217,"Ambiguous","Mismatch",217
"2271","Native",8,21,"spillover1","fp","spillover1 fp",4,0,312,312,"Unambiguous","Mismatch",312
"2273","Native",8,5,"spillover1","fp","spillover1 fp",4,0,509,509,"Unambiguous","Mismatch",509
"2275","Native",8,1,"spillover1","fp","spillover1 fp",4,0,206,206,"Unambiguous","Mismatch",206
"2277","Native",8,6,"spillover1","fp","spillover1 fp",1,0,380,380,"Ambiguous","Match",380
"2279","Native",8,7,"spillover1","fp","spillover1 fp",2,0,410,410,"Ambiguous","Mismatch",410
"2281","Native",8,12,"spillover1","fp","spillover1 fp",3,0,233,233,"Unambiguous","Match",233
"2283","Native",8,10,"spillover1","fp","spillover1 fp",1,0,285,285,"Ambiguous","Match",285
"2285","Native",8,16,"spillover1","fp","spillover1 fp",3,0,214,214,"Unambiguous","Match",214
"2287","Native",8,8,"spillover1","fp","spillover1 fp",3,0,336,336,"Unambiguous","Match",336
"2289","Native",8,19,"spillover1","fp","spillover1 fp",2,0,542,542,"Ambiguous","Mismatch",542
"2291","Native",8,15,"spillover1","fp","spillover1 fp",2,0,220,220,"Ambiguous","Mismatch",220
"2293","Native",8,22,"spillover1","fp","spillover1 fp",1,0,182,182,"Ambiguous","Match",182
"2295","Native",8,9,"spillover1","fp","spillover1 fp",4,0,207,207,"Unambiguous","Mismatch",207
"2297","Native",8,24,"spillover1","fp","spillover1 fp",3,0,230,230,"Unambiguous","Match",230
"2299","Native",8,13,"spillover1","fp","spillover1 fp",4,0,268,268,"Unambiguous","Mismatch",268
"2301","Native",8,3,"spillover1","fp","spillover1 fp",2,0,128,128,"Ambiguous","Mismatch",128
"2303","Native",8,20,"spillover1","fp","spillover1 fp",3,0,210,210,"Unambiguous","Match",210
"2306","Native",9,9,"spillover1","fp","spillover1 fp",1,0,388,388,"Ambiguous","Match",388
"2308","Native",9,3,"spillover1","fp","spillover1 fp",3,0,136,136,"Unambiguous","Match",136
"2310","Native",9,5,"spillover1","fp","spillover1 fp",1,0,174,174,"Ambiguous","Match",174
"2312","Native",9,22,"spillover1","fp","spillover1 fp",2,0,190,190,"Ambiguous","Mismatch",190
"2314","Native",9,2,"spillover1","fp","spillover1 fp",2,0,138,138,"Ambiguous","Mismatch",138
"2316","Native",9,7,"spillover1","fp","spillover1 fp",3,0,362,362,"Unambiguous","Match",362
"2318","Native",9,6,"spillover1","fp","spillover1 fp",2,0,203,203,"Ambiguous","Mismatch",203
"2320","Native",9,13,"spillover1","fp","spillover1 fp",1,0,235,235,"Ambiguous","Match",235
"2322","Native",9,24,"spillover1","fp","spillover1 fp",4,0,177,177,"Unambiguous","Mismatch",177
"2324","Native",9,14,"spillover1","fp","spillover1 fp",2,0,183,183,"Ambiguous","Mismatch",183
"2326","Native",9,12,"spillover1","fp","spillover1 fp",4,0,483,483,"Unambiguous","Mismatch",483
"2328","Native",9,20,"spillover1","fp","spillover1 fp",4,0,183,183,"Unambiguous","Mismatch",183
"2330","Native",9,4,"spillover1","fp","spillover1 fp",4,0,332,332,"Unambiguous","Mismatch",332
"2332","Native",9,23,"spillover1","fp","spillover1 fp",3,0,192,192,"Unambiguous","Match",192
"2334","Native",9,10,"spillover1","fp","spillover1 fp",2,0,394,394,"Ambiguous","Mismatch",394
"2336","Native",9,1,"spillover1","fp","spillover1 fp",1,0,354,354,"Ambiguous","Match",354
"2338","Native",9,16,"spillover1","fp","spillover1 fp",4,0,176,176,"Unambiguous","Mismatch",176
"2340","Native",9,18,"spillover1","fp","spillover1 fp",2,0,207,207,"Ambiguous","Mismatch",207
"2342","Native",9,21,"spillover1","fp","spillover1 fp",1,1,0,NA,"Ambiguous","Match",NA
"2344","Native",9,15,"spillover1","fp","spillover1 fp",3,0,227,227,"Unambiguous","Match",227
"2346","Native",9,17,"spillover1","fp","spillover1 fp",1,0,160,160,"Ambiguous","Match",160
"2348","Native",9,11,"spillover1","fp","spillover1 fp",3,0,243,243,"Unambiguous","Match",243
"2350","Native",9,19,"spillover1","fp","spillover1 fp",3,0,160,160,"Unambiguous","Match",160
"2352","Native",9,8,"spillover1","fp","spillover1 fp",4,0,211,211,"Unambiguous","Mismatch",211
"2354","Native",10,13,"spillover1","fp","spillover1 fp",2,0,257,257,"Ambiguous","Mismatch",257
"2356","Native",10,3,"spillover1","fp","spillover1 fp",4,0,183,183,"Unambiguous","Mismatch",183
"2358","Native",10,9,"spillover1","fp","spillover1 fp",2,0,275,275,"Ambiguous","Mismatch",275
"2360","Native",10,20,"spillover1","fp","spillover1 fp",1,0,509,509,"Ambiguous","Match",509
"2362","Native",10,1,"spillover1","fp","spillover1 fp",2,0,371,371,"Ambiguous","Mismatch",371
"2364","Native",10,5,"spillover1","fp","spillover1 fp",2,0,235,235,"Ambiguous","Mismatch",235
"2366","Native",10,6,"spillover1","fp","spillover1 fp",3,0,416,416,"Unambiguous","Match",416
"2368","Native",10,4,"spillover1","fp","spillover1 fp",1,0,270,270,"Ambiguous","Match",270
"2370","Native",10,23,"spillover1","fp","spillover1 fp",4,0,746,746,"Unambiguous","Mismatch",746
"2372","Native",10,17,"spillover1","fp","spillover1 fp",2,0,199,199,"Ambiguous","Mismatch",199
"2374","Native",10,2,"spillover1","fp","spillover1 fp",3,0,217,217,"Unambiguous","Match",217
"2376","Native",10,11,"spillover1","fp","spillover1 fp",4,0,165,165,"Unambiguous","Mismatch",165
"2378","Native",10,16,"spillover1","fp","spillover1 fp",1,0,398,398,"Ambiguous","Match",398
"2380","Native",10,15,"spillover1","fp","spillover1 fp",4,0,152,152,"Unambiguous","Mismatch",152
"2382","Native",10,21,"spillover1","fp","spillover1 fp",2,0,121,121,"Ambiguous","Mismatch",121
"2384","Native",10,18,"spillover1","fp","spillover1 fp",3,0,241,241,"Unambiguous","Match",241
"2386","Native",10,10,"spillover1","fp","spillover1 fp",3,0,166,166,"Unambiguous","Match",166
"2388","Native",10,22,"spillover1","fp","spillover1 fp",3,0,256,256,"Unambiguous","Match",256
"2390","Native",10,14,"spillover1","fp","spillover1 fp",3,0,206,206,"Unambiguous","Match",206
"2392","Native",10,12,"spillover1","fp","spillover1 fp",1,0,245,245,"Ambiguous","Match",245
"2394","Native",10,8,"spillover1","fp","spillover1 fp",1,0,232,232,"Ambiguous","Match",232
"2396","Native",10,19,"spillover1","fp","spillover1 fp",4,0,214,214,"Unambiguous","Mismatch",214
"2398","Native",10,24,"spillover1","fp","spillover1 fp",1,0,153,153,"Ambiguous","Match",153
"2400","Native",10,7,"spillover1","fp","spillover1 fp",4,0,224,224,"Unambiguous","Mismatch",224
"2402","Native",11,6,"spillover1","fp","spillover1 fp",4,0,364,364,"Unambiguous","Mismatch",364
"2404","Native",11,14,"spillover1","fp","spillover1 fp",4,0,406,406,"Unambiguous","Mismatch",406
"2406","Native",11,15,"spillover1","fp","spillover1 fp",1,0,278,278,"Ambiguous","Match",278
