"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"21121","Native",1,38,"wrap_up","rp","wrap_up rp",6,0,2394,2394,"Unambiguous","Consistent",2394
"21123","Native",1,39,"wrap_up","rp","wrap_up rp",7,0,3946,3946,"Ambiguous","Inconsistent",3946
"21125","Native",1,26,"wrap_up","rp","wrap_up rp",6,0,503,503,"Unambiguous","Consistent",503
"21127","Native",1,34,"wrap_up","rp","wrap_up rp",6,0,1627,1627,"Unambiguous","Consistent",1627
"21129","Native",1,46,"wrap_up","rp","wrap_up rp",6,0,5696,5696,"Unambiguous","Consistent",5696
"21131","Native",1,29,"wrap_up","rp","wrap_up rp",5,0,424,424,"Ambiguous","Consistent",424
"21133","Native",1,36,"wrap_up","rp","wrap_up rp",8,0,10098,10098,"Unambiguous","Inconsistent",10098
"21135","Native",1,30,"wrap_up","rp","wrap_up rp",6,0,542,542,"Unambiguous","Consistent",542
"21137","Native",1,40,"wrap_up","rp","wrap_up rp",8,0,2030,2030,"Unambiguous","Inconsistent",2030
"21139","Native",1,33,"wrap_up","rp","wrap_up rp",5,0,2761,2761,"Ambiguous","Consistent",2761
"21141","Native",1,43,"wrap_up","rp","wrap_up rp",7,0,897,897,"Ambiguous","Inconsistent",897
"21143","Native",1,28,"wrap_up","rp","wrap_up rp",8,0,2465,2465,"Unambiguous","Inconsistent",2465
"21145","Native",1,31,"wrap_up","rp","wrap_up rp",7,0,403,403,"Ambiguous","Inconsistent",403
"21147","Native",1,45,"wrap_up","rp","wrap_up rp",5,0,644,644,"Ambiguous","Consistent",644
"21149","Native",1,25,"wrap_up","rp","wrap_up rp",5,0,2355,2355,"Ambiguous","Consistent",2355
"21151","Native",1,41,"wrap_up","rp","wrap_up rp",5,0,7144,7144,"Ambiguous","Consistent",7144
"21153","Native",1,42,"wrap_up","rp","wrap_up rp",6,0,219,219,"Unambiguous","Consistent",219
"21155","Native",1,37,"wrap_up","rp","wrap_up rp",5,0,3480,3480,"Ambiguous","Consistent",3480
"21157","Native",1,32,"wrap_up","rp","wrap_up rp",8,0,323,323,"Unambiguous","Inconsistent",323
"21159","Native",1,48,"wrap_up","rp","wrap_up rp",8,0,1784,1784,"Unambiguous","Inconsistent",1784
"21161","Native",1,47,"wrap_up","rp","wrap_up rp",7,0,419,419,"Ambiguous","Inconsistent",419
"21163","Native",1,44,"wrap_up","rp","wrap_up rp",8,0,2000,2000,"Unambiguous","Inconsistent",2000
"21165","Native",1,27,"wrap_up","rp","wrap_up rp",7,0,5651,5651,"Ambiguous","Inconsistent",5651
"21167","Native",1,35,"wrap_up","rp","wrap_up rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"21169","Native",2,46,"wrap_up","rp","wrap_up rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"21171","Native",2,25,"wrap_up","rp","wrap_up rp",6,0,285,285,"Unambiguous","Consistent",285
"21173","Native",2,39,"wrap_up","rp","wrap_up rp",8,0,4549,4549,"Unambiguous","Inconsistent",4549
"21175","Native",2,38,"wrap_up","rp","wrap_up rp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"21177","Native",2,30,"wrap_up","rp","wrap_up rp",7,0,695,695,"Ambiguous","Inconsistent",695
"21179","Native",2,27,"wrap_up","rp","wrap_up rp",8,0,9085,9085,"Unambiguous","Inconsistent",9085
"21181","Native",2,29,"wrap_up","rp","wrap_up rp",6,0,6373,6373,"Unambiguous","Consistent",6373
"21183","Native",2,33,"wrap_up","rp","wrap_up rp",6,1,0,NA,"Unambiguous","Consistent",NA
"21185","Native",2,32,"wrap_up","rp","wrap_up rp",5,0,128,128,"Ambiguous","Consistent",128
"21187","Native",2,43,"wrap_up","rp","wrap_up rp",8,0,2030,2030,"Unambiguous","Inconsistent",2030
"21189","Native",2,45,"wrap_up","rp","wrap_up rp",6,1,0,NA,"Unambiguous","Consistent",NA
"21191","Native",2,48,"wrap_up","rp","wrap_up rp",5,0,323,323,"Ambiguous","Consistent",323
"21193","Native",2,47,"wrap_up","rp","wrap_up rp",8,0,422,422,"Unambiguous","Inconsistent",422
"21195","Native",2,31,"wrap_up","rp","wrap_up rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"21197","Native",2,26,"wrap_up","rp","wrap_up rp",7,0,112,112,"Ambiguous","Inconsistent",112
"21199","Native",2,42,"wrap_up","rp","wrap_up rp",7,0,97,97,"Ambiguous","Inconsistent",97
"21201","Native",2,36,"wrap_up","rp","wrap_up rp",5,0,677,677,"Ambiguous","Consistent",677
"21203","Native",2,35,"wrap_up","rp","wrap_up rp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"21205","Native",2,44,"wrap_up","rp","wrap_up rp",5,0,320,320,"Ambiguous","Consistent",320
"21207","Native",2,41,"wrap_up","rp","wrap_up rp",6,0,1977,1977,"Unambiguous","Consistent",1977
