"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"1","Native",1,38,"disamb","fp","disamb fp",6,0,328,328,"Unambiguous","Consistent",328
"3","Native",1,39,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"5","Native",1,26,"disamb","fp","disamb fp",6,0,336,336,"Unambiguous","Consistent",336
"7","Native",1,34,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"9","Native",1,46,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"11","Native",1,29,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"13","Native",1,36,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"15","Native",1,30,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"17","Native",1,40,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"19","Native",1,33,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"21","Native",1,43,"disamb","fp","disamb fp",7,0,311,311,"Ambiguous","Inconsistent",311
"23","Native",1,28,"disamb","fp","disamb fp",8,0,375,375,"Unambiguous","Inconsistent",375
"25","Native",1,31,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"27","Native",1,45,"disamb","fp","disamb fp",5,0,298,298,"Ambiguous","Consistent",298
"29","Native",1,25,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"31","Native",1,41,"disamb","fp","disamb fp",5,0,252,252,"Ambiguous","Consistent",252
"33","Native",1,42,"disamb","fp","disamb fp",6,0,682,682,"Unambiguous","Consistent",682
"35","Native",1,37,"disamb","fp","disamb fp",5,0,253,253,"Ambiguous","Consistent",253
"37","Native",1,32,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"39","Native",1,48,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"41","Native",1,47,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"43","Native",1,44,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"45","Native",1,27,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"47","Native",1,35,"disamb","fp","disamb fp",7,0,201,201,"Ambiguous","Inconsistent",201
"49","Native",2,46,"disamb","fp","disamb fp",7,0,159,159,"Ambiguous","Inconsistent",159
"51","Native",2,25,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"53","Native",2,39,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"55","Native",2,38,"disamb","fp","disamb fp",7,0,329,329,"Ambiguous","Inconsistent",329
"57","Native",2,30,"disamb","fp","disamb fp",7,0,576,576,"Ambiguous","Inconsistent",576
"59","Native",2,27,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"61","Native",2,29,"disamb","fp","disamb fp",6,0,506,506,"Unambiguous","Consistent",506
"63","Native",2,33,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"65","Native",2,32,"disamb","fp","disamb fp",5,0,225,225,"Ambiguous","Consistent",225
"67","Native",2,43,"disamb","fp","disamb fp",8,0,478,478,"Unambiguous","Inconsistent",478
"69","Native",2,45,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"71","Native",2,48,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"73","Native",2,47,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"75","Native",2,31,"disamb","fp","disamb fp",8,0,407,407,"Unambiguous","Inconsistent",407
"77","Native",2,26,"disamb","fp","disamb fp",7,0,183,183,"Ambiguous","Inconsistent",183
"79","Native",2,42,"disamb","fp","disamb fp",7,0,176,176,"Ambiguous","Inconsistent",176
"81","Native",2,36,"disamb","fp","disamb fp",5,0,194,194,"Ambiguous","Consistent",194
"83","Native",2,35,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"85","Native",2,44,"disamb","fp","disamb fp",5,0,208,208,"Ambiguous","Consistent",208
"87","Native",2,41,"disamb","fp","disamb fp",6,0,315,315,"Unambiguous","Consistent",315
"89","Native",2,37,"disamb","fp","disamb fp",6,0,209,209,"Unambiguous","Consistent",209
"91","Native",2,40,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"93","Native",2,28,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"95","Native",2,34,"disamb","fp","disamb fp",7,0,301,301,"Ambiguous","Inconsistent",301
"98","Native",3,34,"disamb","fp","disamb fp",8,0,563,563,"Unambiguous","Inconsistent",563
"100","Native",3,30,"disamb","fp","disamb fp",8,0,562,562,"Unambiguous","Inconsistent",562
"102","Native",3,38,"disamb","fp","disamb fp",8,0,87,87,"Unambiguous","Inconsistent",87
"104","Native",3,43,"disamb","fp","disamb fp",5,0,130,130,"Ambiguous","Consistent",130
"106","Native",3,47,"disamb","fp","disamb fp",5,0,1174,1174,"Ambiguous","Consistent",1174
"108","Native",3,25,"disamb","fp","disamb fp",7,0,327,327,"Ambiguous","Inconsistent",327
"110","Native",3,37,"disamb","fp","disamb fp",7,0,622,622,"Ambiguous","Inconsistent",622
"112","Native",3,40,"disamb","fp","disamb fp",6,0,117,117,"Unambiguous","Consistent",117
"114","Native",3,42,"disamb","fp","disamb fp",8,0,991,991,"Unambiguous","Inconsistent",991
"116","Native",3,33,"disamb","fp","disamb fp",7,0,416,416,"Ambiguous","Inconsistent",416
"118","Native",3,39,"disamb","fp","disamb fp",5,0,397,397,"Ambiguous","Consistent",397
"120","Native",3,41,"disamb","fp","disamb fp",7,0,706,706,"Ambiguous","Inconsistent",706
"122","Native",3,27,"disamb","fp","disamb fp",5,0,484,484,"Ambiguous","Consistent",484
"124","Native",3,29,"disamb","fp","disamb fp",7,0,314,314,"Ambiguous","Inconsistent",314
"126","Native",3,46,"disamb","fp","disamb fp",8,0,384,384,"Unambiguous","Inconsistent",384
"128","Native",3,28,"disamb","fp","disamb fp",6,0,385,385,"Unambiguous","Consistent",385
"130","Native",3,35,"disamb","fp","disamb fp",5,0,1239,1239,"Ambiguous","Consistent",1239
"132","Native",3,45,"disamb","fp","disamb fp",7,0,158,158,"Ambiguous","Inconsistent",158
"134","Native",3,32,"disamb","fp","disamb fp",6,0,1315,1315,"Unambiguous","Consistent",1315
"136","Native",3,26,"disamb","fp","disamb fp",8,0,659,659,"Unambiguous","Inconsistent",659
"138","Native",3,36,"disamb","fp","disamb fp",6,0,473,473,"Unambiguous","Consistent",473
"140","Native",3,31,"disamb","fp","disamb fp",5,0,588,588,"Ambiguous","Consistent",588
"142","Native",3,48,"disamb","fp","disamb fp",6,0,1194,1194,"Unambiguous","Consistent",1194
"144","Native",3,44,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"146","Native",4,43,"disamb","fp","disamb fp",6,0,306,306,"Unambiguous","Consistent",306
"148","Native",4,33,"disamb","fp","disamb fp",8,0,161,161,"Unambiguous","Inconsistent",161
"150","Native",4,29,"disamb","fp","disamb fp",8,0,211,211,"Unambiguous","Inconsistent",211
"152","Native",4,41,"disamb","fp","disamb fp",8,0,183,183,"Unambiguous","Inconsistent",183
"154","Native",4,26,"disamb","fp","disamb fp",5,0,302,302,"Ambiguous","Consistent",302
"156","Native",4,28,"disamb","fp","disamb fp",7,0,226,226,"Ambiguous","Inconsistent",226
"158","Native",4,25,"disamb","fp","disamb fp",8,0,273,273,"Unambiguous","Inconsistent",273
"160","Native",4,34,"disamb","fp","disamb fp",5,0,347,347,"Ambiguous","Consistent",347
"162","Native",4,38,"disamb","fp","disamb fp",5,0,262,262,"Ambiguous","Consistent",262
"164","Native",4,30,"disamb","fp","disamb fp",5,0,194,194,"Ambiguous","Consistent",194
"166","Native",4,48,"disamb","fp","disamb fp",7,0,166,166,"Ambiguous","Inconsistent",166
"168","Native",4,27,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"170","Native",4,35,"disamb","fp","disamb fp",6,0,431,431,"Unambiguous","Consistent",431
"172","Native",4,45,"disamb","fp","disamb fp",8,0,293,293,"Unambiguous","Inconsistent",293
"174","Native",4,42,"disamb","fp","disamb fp",5,0,277,277,"Ambiguous","Consistent",277
"176","Native",4,47,"disamb","fp","disamb fp",6,0,218,218,"Unambiguous","Consistent",218
"178","Native",4,39,"disamb","fp","disamb fp",6,0,303,303,"Unambiguous","Consistent",303
"180","Native",4,44,"disamb","fp","disamb fp",7,0,187,187,"Ambiguous","Inconsistent",187
"182","Native",4,32,"disamb","fp","disamb fp",7,0,293,293,"Ambiguous","Inconsistent",293
"184","Native",4,37,"disamb","fp","disamb fp",8,0,231,231,"Unambiguous","Inconsistent",231
"186","Native",4,46,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"188","Native",4,31,"disamb","fp","disamb fp",6,0,293,293,"Unambiguous","Consistent",293
"190","Native",4,40,"disamb","fp","disamb fp",7,0,427,427,"Ambiguous","Inconsistent",427
"192","Native",4,36,"disamb","fp","disamb fp",7,0,321,321,"Ambiguous","Inconsistent",321
"193","Native",5,39,"disamb","fp","disamb fp",7,0,458,458,"Ambiguous","Inconsistent",458
"195","Native",5,33,"disamb","fp","disamb fp",5,0,229,229,"Ambiguous","Consistent",229
"197","Native",5,30,"disamb","fp","disamb fp",6,0,149,149,"Unambiguous","Consistent",149
"199","Native",5,46,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"201","Native",5,25,"disamb","fp","disamb fp",5,0,617,617,"Ambiguous","Consistent",617
"203","Native",5,42,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"205","Native",5,41,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"207","Native",5,36,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"209","Native",5,34,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"211","Native",5,35,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"213","Native",5,43,"disamb","fp","disamb fp",7,0,443,443,"Ambiguous","Inconsistent",443
"215","Native",5,47,"disamb","fp","disamb fp",7,0,186,186,"Ambiguous","Inconsistent",186
"217","Native",5,38,"disamb","fp","disamb fp",6,0,267,267,"Unambiguous","Consistent",267
"219","Native",5,27,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"221","Native",5,45,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"223","Native",5,37,"disamb","fp","disamb fp",5,0,131,131,"Ambiguous","Consistent",131
"225","Native",5,48,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"227","Native",5,44,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"229","Native",5,26,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"231","Native",5,32,"disamb","fp","disamb fp",8,0,448,448,"Unambiguous","Inconsistent",448
"233","Native",5,28,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"235","Native",5,31,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"237","Native",5,29,"disamb","fp","disamb fp",5,0,244,244,"Ambiguous","Consistent",244
"239","Native",5,40,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"242","Native",6,30,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"244","Native",6,35,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"246","Native",6,43,"disamb","fp","disamb fp",8,0,264,264,"Unambiguous","Inconsistent",264
"248","Native",6,36,"disamb","fp","disamb fp",5,0,147,147,"Ambiguous","Consistent",147
"250","Native",6,32,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"252","Native",6,37,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"254","Native",6,47,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"256","Native",6,33,"disamb","fp","disamb fp",6,0,139,139,"Unambiguous","Consistent",139
"258","Native",6,41,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"260","Native",6,26,"disamb","fp","disamb fp",7,0,146,146,"Ambiguous","Inconsistent",146
"262","Native",6,39,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"264","Native",6,38,"disamb","fp","disamb fp",7,0,102,102,"Ambiguous","Inconsistent",102
"266","Native",6,25,"disamb","fp","disamb fp",6,0,88,88,"Unambiguous","Consistent",88
"268","Native",6,34,"disamb","fp","disamb fp",7,0,179,179,"Ambiguous","Inconsistent",179
"270","Native",6,27,"disamb","fp","disamb fp",8,0,143,143,"Unambiguous","Inconsistent",143
"272","Native",6,48,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"274","Native",6,28,"disamb","fp","disamb fp",5,0,331,331,"Ambiguous","Consistent",331
"276","Native",6,31,"disamb","fp","disamb fp",8,0,183,183,"Unambiguous","Inconsistent",183
"278","Native",6,46,"disamb","fp","disamb fp",7,0,136,136,"Ambiguous","Inconsistent",136
"280","Native",6,40,"disamb","fp","disamb fp",5,0,184,184,"Ambiguous","Consistent",184
"282","Native",6,42,"disamb","fp","disamb fp",7,0,179,179,"Ambiguous","Inconsistent",179
"284","Native",6,45,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"286","Native",6,44,"disamb","fp","disamb fp",5,1,0,NA,"Ambiguous","Consistent",NA
"288","Native",6,29,"disamb","fp","disamb fp",6,1,0,NA,"Unambiguous","Consistent",NA
"289","Native",7,44,"disamb","fp","disamb fp",6,0,366,366,"Unambiguous","Consistent",366
"291","Native",7,35,"disamb","fp","disamb fp",5,0,624,624,"Ambiguous","Consistent",624
"293","Native",7,26,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"295","Native",7,38,"disamb","fp","disamb fp",8,0,170,170,"Unambiguous","Inconsistent",170
"297","Native",7,28,"disamb","fp","disamb fp",6,0,222,222,"Unambiguous","Consistent",222
"299","Native",7,45,"disamb","fp","disamb fp",7,0,199,199,"Ambiguous","Inconsistent",199
"301","Native",7,41,"disamb","fp","disamb fp",7,1,0,NA,"Ambiguous","Inconsistent",NA
"303","Native",7,43,"disamb","fp","disamb fp",5,0,1172,1172,"Ambiguous","Consistent",1172
"305","Native",7,27,"disamb","fp","disamb fp",5,0,481,481,"Ambiguous","Consistent",481
"307","Native",7,32,"disamb","fp","disamb fp",6,0,460,460,"Unambiguous","Consistent",460
"309","Native",7,47,"disamb","fp","disamb fp",5,0,760,760,"Ambiguous","Consistent",760
"311","Native",7,42,"disamb","fp","disamb fp",8,0,432,432,"Unambiguous","Inconsistent",432
"313","Native",7,29,"disamb","fp","disamb fp",7,0,393,393,"Ambiguous","Inconsistent",393
"315","Native",7,46,"disamb","fp","disamb fp",8,1,0,NA,"Unambiguous","Inconsistent",NA
"317","Native",7,36,"disamb","fp","disamb fp",6,0,161,161,"Unambiguous","Consistent",161
